Sample,watershed,Q_norm_cms_wsa,Area_low_severity_percent,time_since_fire_day
LAG-1,Laguna Creek,0.001111111,38,52
LAG-10,Laguna Creek,0.016777778,38,214
LAG-11,Laguna Creek,0.001888889,38,259
LAG-2,Laguna Creek,0.003222222,38,93
LAG-3,Laguna Creek,0.003444444,38,94
LAG-4,Laguna Creek,0.001444444,38,117
LAG-5,Laguna Creek,0.009111111,38,119
LAG-6,Laguna Creek,0.008,38,141
LAG-7,Laguna Creek,0.020666667,38,164
LAG-8,Laguna Creek,0.156666667,38,165
LAG-9,Laguna Creek,0.035888889,38,170
MAJ-1,Majors Creek,0.003131313,23,52
MAJ-10,Majors Creek,0.014141414,23,214
MAJ-11,Majors Creek,0.003636364,23,259
MAJ-2,Majors Creek,0.004141414,23,93
MAJ-3,Majors Creek,0.006565657,23,94
MAJ-4,Majors Creek,0.002929293,23,117
MAJ-5,Majors Creek,0.008888889,23,119
MAJ-6,Majors Creek,0.006767677,23,141
MAJ-7,Majors Creek,0.021313131,23,164
MAJ-8,Majors Creek,0.352828283,23,165
MAJ-9,Majors Creek,0.055050505,23,170
PESC-1,Pescadero Creek,0.000168492,15,52
PESC-10,Pescadero Creek,0.002131424,15,214
PESC-11,Pescadero Creek,0.000589722,15,259
PESC-2,Pescadero Creek,0.000589722,15,93
PESC-3,Pescadero Creek,0.000901432,15,94
PESC-4,Pescadero Creek,0.000404381,15,117
PESC-5,Pescadero Creek,0.001828138,15,119
PESC-6,Pescadero Creek,0.000648694,15,141
PESC-7,Pescadero Creek,0.006301601,15,164
PESC-9,Pescadero Creek,0.003765796,15,170
SAN-1,San Lorenzo River,0.00125,12,52
SAN-10,San Lorenzo River,0.010003623,12,214
SAN-11,San Lorenzo River,0.001927536,12,259
SAN-2,San Lorenzo River,0.003528986,12,93
SAN-3,San Lorenzo River,0.006369565,12,94
SAN-4,San Lorenzo River,0.001550725,12,117
SAN-5,San Lorenzo River,0.007891304,12,119
SAN-6,San Lorenzo River,0.006586957,12,141
SAN-7,San Lorenzo River,0.071713768,12,165
SAN-9,San Lorenzo River,0.012721014,12,170
SCT-1,Scott Creek,0.004353741,12,52
SCT-10,Scott Creek,0.039605442,12,214
SCT-11,Scott Creek,0.013496599,12,259
SCT-3,Scott Creek,0.033591837,12,94
SCT-4,Scott Creek,0.011278912,12,117
SCT-5,Scott Creek,0.019687075,12,119
SCT-6,Scott Creek,0.024843537,12,141
SCT-9,Scott Creek,0.075238095,12,170
