File_Name,File_Description,Standard,Missing_Value_Codes,File_Path
Barton_2025_Coastal_Fires_Levo_flmd.csv,File-level metadata that lists and describes all of the files contained in the data package.,ESS-DIVE FLMD v1; ESS-DIVE CSV v1,"""N/A""; ""-9999""; """"; ""NA""",/Barton_2025_Coastal_Fires_Levo
Barton_2025_Coastal_Fires_Levo_dd.csv,"Data dictionary that defines column and row headers across all tabular data files (files ending in "".csv"" or "".tsv"") in the data package.",ESS-DIVE CSV v1,"""N/A""; ""-9999""; """"; ""NA""",/Barton_2025_Coastal_Fires_Levo
CoastalFires_DataAnalysis.Rmd,Script utilized to perform statistical tests associated with the manuscript,N/A,N/A,/Barton_2025_Coastal_Fires_Levo
CoastalFires_DataFrameWrangling.Rmd,"Script utilized to merge levoglucosan data with relevant, publically available biogeochemical data to create CoastalFires_CombinedData.csv",N/A,N/A,/Barton_2025_Coastal_Fires_Levo
CoastalFires_WorkflowInstructions.rtf,,N/A,N/A,/Barton_2025_Coastal_Fires_Levo
readme_Barton_2025_Coastal_Fires_Levo.pdf,Data package level readme. Contains data package summary; acknowledgements; and contact information.,N/A,N/A,/Barton_2025_Coastal_Fires_Levo
CoastalFires_BiogeochemData.csv,,ESS-DIVE CSV v1,"""N/A""; ""-9999""; """"; ""NA""",/Barton_2025_Coastal_Fires_Levo/Input
CoastalFires_DischargeData.csv,,ESS-DIVE CSV v1,"""N/A""; ""-9999""; """"; ""NA""",/Barton_2025_Coastal_Fires_Levo/Input
CoastalFires_LevoglucosanData.csv,This file contains the levoglucosan concentrations for the samples analyzed for this study.,ESS-DIVE CSV v1,"""N/A""; ""-9999""; """"; ""NA""",/Barton_2025_Coastal_Fires_Levo/Input
CoastalFires_WatershedData.csv,,ESS-DIVE CSV v1,"""N/A""; ""-9999""; """"; ""NA""",/Barton_2025_Coastal_Fires_Levo/Input
CoastalFires_CombinedData.csv,This file contains levoglucosan data as well as relevant publically available biogeochemical measurments and watershed metadata,ESS-DIVE CSV v1,"""N/A""; ""-9999""; """"; ""NA""",/Barton_2025_Coastal_Fires_Levo/Output
NMDS_labeled.png,,N/A,N/A,/Barton_2025_Coastal_Fires_Levo/Output
NMDS_unlabeled.png,,N/A,N/A,/Barton_2025_Coastal_Fires_Levo/Output
