"Sample_ID","Watershed","Date","Time","Latitude","Longitude","Location_Change","Discharge_cms","Flow_category","DOC_mgC_per_L","levo_micro_gram_per_liter","std_levo_micro_gram_per_liter","DBC_mgC_per_L","DBC_DOC_percent","dB6CA_nano_mol_per_L","dB5CA_nano_mol_per_L","dB6CA_B5CA","a254_per_m","SUVA254_L_per_mgC_per_m","Area_square_kilometer","Average_slope_percent","Average_precipitation_milli_meter","Burn_Extent_percent","Area_low_severity_percent","Area_low_to_mod_severity_percent","Area_mod_to_high_severity_percent","Forest_percent","Shrub_percent","Developed_percent","Sandstone_and_sedimentary_percent","Igneous_percent","Suficial_Sediments_percent","Schist_percent"
"LAG-1","Laguna Creek","7-Oct-20",11:00:00,37.02469,-122.1309,"N",0.01,"B",0.785,5.558747158,0.102859714,0.024,3.1,9.3,20.4,0.458,7.024,3.947,9,24.4,1160,60,38,20,2,84,5,11,12,40,0,48
"LAG-10","Laguna Creek","18-Mar-21",19:54:00,37.02469,-122.1309,"N",0.151,"L",3.49,6.840685924,1.301514709,0.142,4.1,65.3,142.5,0.458,28.788,3.582,9,24.4,1160,60,38,20,2,84,5,11,12,40,0,48
"LAG-11","Laguna Creek","2-May-21",10:15:00,37.02469,-122.1309,"N",0.017,"B",0.73,4.954502062,1.104197132,0.035,4.8,14.9,30,0.497,7.83,4.658,9,24.4,1160,60,38,20,2,84,5,11,12,40,0,48
"LAG-2","Laguna Creek","17-Nov-20",22:17:00,37.02469,-122.1309,"N",0.029,"L",5.78,40.35730382,0.085928033,0.115,2,44.3,117.6,0.377,27.406,2.059,9,24.4,1160,60,38,20,2,84,5,11,12,40,0,48
"LAG-3","Laguna Creek","18-Nov-20",10:56:00,37.02469,-122.1309,"N",0.031,"L",6.3,42.27818918,0.332468866,0.186,2.9,71.4,212.4,0.336,33.624,2.317,9,24.4,1160,60,38,20,2,84,5,11,12,40,0,48
"LAG-4","Laguna Creek","11-Dec-20",10:16:00,37.02469,-122.1309,"N",0.013,"B",0.93,8.704824211,1.077146359,0.033,3.5,13.3,28.6,0.466,12.897,6.022,9,24.4,1160,60,38,20,2,84,5,11,12,40,0,48
"LAG-5","Laguna Creek","13-Dec-20",15:02:00,37.02469,-122.1309,"N",0.082,"L",6.36,31.84507861,3.554247529,0.198,3.1,85.5,218,0.392,43.757,2.987,9,24.4,1160,60,38,20,2,84,5,11,12,40,0,48
"LAG-6","Laguna Creek","4-Jan-21",15:55:00,37.02469,-122.1309,"N",0.072,"L",4.64,12.0573052,1.277167309,0.184,4,82.4,194.5,0.424,33.854,3.168,9,24.4,1160,60,38,20,2,84,5,11,12,40,0,48
"LAG-7","Laguna Creek","27-Jan-21",08:50:00,37.02469,-122.1309,"N",0.186,"H",5.39,10.50650316,0.61427448,0.281,5.2,130.744,303.385,0.431,38.921,3.135,9,24.4,1160,60,38,20,2,84,5,11,12,40,0,48
"LAG-8","Laguna Creek","28-Jan-21",07:51:00,37.02469,-122.1309,"N",1.41,"H",6.32,14.42195475,3.850774823,0.202,3.2,89.6,213.7,0.419,46.521,3.196,9,24.4,1160,60,38,20,2,84,5,11,12,40,0,48
"LAG-9","Laguna Creek","2-Feb-21",07:57:00,37.02469,-122.1309,"N",0.323,"H",4.59,4.957231284,0.638744166,0.244,5.3,120.706,250.775,0.481,37.078,3.508,9,24.4,1160,60,38,20,2,84,5,11,12,40,0,48
