"...1","sample_id","watershed","date","time","lat","long","Q_cms","flow_cat","lagoon","DOC_mgC_per_L","avg_levo_ppb","DBC_mgC_per_L","DBC_DOC_perc","dB6CA_nM","dB5CA_nM","dB6CA_B5CA","a254_per_m","SUVA254_L_per_mgC_per_m","Area_square_kilometer","Average_slope_percent","Average_precipitation_milli_meter","Burn_Extent_percent","Area_low_severity_percent","Area_low_to_mod_severity_percent","Area_mod_to_high_severity_percent","Forest_percent","Shrub_percent","Developed_percent","Sandstone_and_sedimentary_percent","Igneous_percent","Suficial_Sediments_percent","Schist_percent","Levo_DOC_perc","Levo_DBC","flux_levo","flux_DOC","flux_DBC","yield_levo","yield_DOC","yield_DBC","time_since_fire_day"
1,"LAG-1","Laguna Creek",2020-10-07,"11:00",37.02469,-122.1309,0.01,"B","N",0.785,5.558747158,0.024,3.1,9.3,20.4,0.458,7.024,3.947,9,24.4,"1160 ± 650",60,38,20,2,84,5,11,12,40,"0","48",0.708120657,0.231614465,555.8747158,78.5,2.4,61.7638573111111,8.72222222222222,0.266666666666667,52
2,"LAG-10","Laguna Creek",2021-03-18,"19:54",37.02469,-122.1309,0.151,"L","N",3.49,6.840685923,0.142,4.1,65.3,142.5,0.458,28.788,3.582,9,24.4,"1160 ± 650",60,38,20,2,84,5,11,12,40,"0","48",0.196008193,0.048173845,45.302555781457,23.112582781457,0.940397350993377,5.03361730905077,2.56806475349522,0.10448859455482,214
3,"LAG-11","Laguna Creek",2021-05-02,"10:15",37.02469,-122.1309,0.017,"B","N",0.73,4.954502062,0.035,4.8,14.9,30,0.497,7.83,4.658,9,24.4,"1160 ± 650",60,38,20,2,84,5,11,12,40,"0","48",0.678698913,0.141557202,291.441297764706,42.9411764705882,2.05882352941176,32.3823664183007,4.77124183006536,0.228758169934641,259
4,"LAG-2","Laguna Creek",2020-11-17,"22:17",37.02469,-122.1309,0.029,"L","N",5.78,40.35730382,0.115,2,44.3,117.6,0.377,27.406,2.059,9,24.4,"1160 ± 650",60,38,20,2,84,5,11,12,40,"0","48",0.698223249,0.350933077,1391.6311662069,199.310344827586,3.96551724137931,154.6256851341,22.1455938697318,0.440613026819923,93
5,"LAG-3","Laguna Creek",2020-11-18,"10:56",37.02469,-122.1309,0.031,"L","N",6.3,42.27818918,0.186,2.9,71.4,212.4,0.336,33.624,2.317,9,24.4,"1160 ± 650",60,38,20,2,84,5,11,12,40,"0","48",0.671082368,0.227302092,1363.81255419355,203.225806451613,6,151.534728243728,22.5806451612903,0.666666666666667,94
6,"LAG-4","Laguna Creek",2020-12-11,"10:16",37.02469,-122.1309,0.013,"B","N",0.93,8.704824211,0.033,3.5,13.3,28.6,0.466,12.897,6.022,9,24.4,"1160 ± 650",60,38,20,2,84,5,11,12,40,"0","48",0.936002603,0.263782552,669.601862384615,71.5384615384615,2.53846153846154,74.4002069316239,7.94871794871795,0.282051282051282,117
7,"LAG-5","Laguna Creek",2020-12-13,"15:02",37.02469,-122.1309,0.082,"L","N",6.36,31.84507861,0.198,3.1,85.5,218,0.392,43.757,2.987,9,24.4,"1160 ± 650",60,38,20,2,84,5,11,12,40,"0","48",0.500708783,0.16083373,388.354617195122,77.5609756097561,2.41463414634146,43.1505130216802,8.61788617886179,0.268292682926829,119
8,"LAG-6","Laguna Creek",2021-01-04,"15:55",37.02469,-122.1309,0.072,"L","N",4.64,12.05730519,0.184,4,82.4,194.5,0.424,33.854,3.168,9,24.4,"1160 ± 650",60,38,20,2,84,5,11,12,40,"0","48",0.259855715,0.065528833,167.462572083333,64.4444444444444,2.55555555555556,18.6069524537037,7.16049382716049,0.283950617283951,141
9,"LAG-7","Laguna Creek",2021-01-27,"8:50",37.02469,-122.1309,0.186,"H","N",5.39,10.50650316,0.281,5.2,130.744,303.385,0.431,38.921,3.135,9,24.4,"1160 ± 650",60,38,20,2,84,5,11,12,40,"0","48",0.194925847,0.037389691,56.4865761290323,28.9784946236559,1.51075268817204,6.27628623655914,3.21983273596177,0.167861409796894,164
10,"LAG-8","Laguna Creek",2021-01-28,"7:51",37.02469,-122.1309,1.41,"H","N",6.32,14.42195475,0.202,3.2,89.6,213.7,0.419,46.521,3.196,9,24.4,"1160 ± 650",60,38,20,2,84,5,11,12,40,"0","48",0.228195487,0.071395816,10.2283367021277,4.4822695035461,0.143262411347518,1.13648185579196,0.498029944838456,0.0159180457052797,165
