sample_id,rep,levo_ppb,relative_area_levo,relative_amount_levo,levoglucosan_area,C13_levoglucosan_area,c13_levo_ppb
0ppbLevo,,0.695507336,7.74E-04,0.069550734,0.9,1162.7,10
100ppbLevo,,92.93267417,5.303726391,9.293267417,7273,1371.3,10
10ppbLevo,,11.24905887,0.607524925,1.124905887,834.8,1374.1,10
1ppbLevo,,2.101952522,0.081634217,0.210195252,106.5,1304.6,10
200ppbLevo,,189.3907258,10.84934829,18.93907258,14316.8,1319.6,10
20ppbLevo,,26.70867405,1.496338028,2.670867405,1859.2,1242.5,10
2ppbLevo,,3.686626287,0.172741194,0.368662629,225.6,1306,10
500ppbLevo,,505.3959121,29.01730053,50.53959121,39750.8,1369.9,10
50ppbLevo,,49.45105998,2.803856383,4.945105998,3795.3,1353.6,10
5ppbLevo,,6.387808907,0.328039142,0.638780891,435.8,1328.5,10
Blank1,,1.464214397,0.04496901,0.14642144,68.2,1516.6,10
Blank10,,1.019983389,0.019429025,0.101998339,44.1,2269.8,10
Blank11,,1.048831014,0.021087549,0.104883101,53.4,2532.3,10
Blank12,,0.905515413,0.012847966,0.090551541,25.2,1961.4,10
Blank13,,1.023472847,0.019629642,0.102347285,56.5,2878.3,10
Blank14,,1.041533508,0.020667996,0.104153351,48.7,2356.3,10
Blank15,,1.166946902,0.027878336,0.11669469,74.7,2679.5,10
Blank16,,0.56684938,-0.006622817,0.056684938,-14.6,2204.5,10
Blank17,,0.937409577,0.014681643,0.093740958,48.1,3276.2,10
Blank18,,1.027332149,0.019851524,0.102733215,48.4,2438.1,10
Blank19,,1.118119198,0.025071105,0.11181192,71.4,2847.9,10
Blank2,,0.749534657,0.00388023,0.074953466,6,1546.3,10
Blank20,,1.152729481,0.027060939,0.115272948,64.7,2390.9,10
Blank21,,1.088452591,0.023365495,0.108845259,64.9,2777.6,10
Blank22,,0.936740565,0.01464318,0.093674056,34,2321.9,10
Blank3,,1.323255715,0.036864932,0.132325571,95.2,2582.4,10
Blank4,,1.222472602,0.031070651,0.12224726,62.8,2021.2,10
Blank5,,0.968605207,0.016475161,0.096860521,39,2367.2,10
Blank6,,0.953011446,0.015578635,0.095301145,35.7,2291.6,10
Blank7,,0.959726416,0.015964696,0.095972642,49.2,3081.8,10
Blank8,,1.086383643,0.023246546,0.108638364,52.5,2258.4,10
Blank9,,1.020034034,0.019431936,0.102003403,56.1,2887,10
CKSTD1-20ppbLevo,,29.26206299,1.643138937,2.926206299,1915.9,1166,10
CKSTD10-200ppb,,169.2064343,9.688901368,16.92064343,24155.4,2493.1,10
CKSTD11-5ppb,,6.441476422,0.331124626,0.644147642,729.6,2203.4,10
CKSTD2-100ppb,,96.58697604,5.513821616,9.658697604,11269.7,2043.9,10
CKSTD3-10ppb,,3.338943903,0.152752039,0.33389439,329.7,2158.4,10
CKSTD4-5ppb,,6.002800673,0.305904027,0.600280067,697.4,2279.8,10
CKSTD5-200ppb,,173.3408135,9.926597479,17.33408135,24964.4,2514.9,10
CKSTD6-20ppb,,24.60190288,1.375214327,2.460190288,2887.4,2099.6,10
CKSTD7-100ppb,,89.89343272,5.128992575,8.989343272,11674.1,2276.1,10
CKSTD8-10ppb,,10.27355716,0.551440819,1.027355716,1389.3,2519.4,10
CKSTD9-5ppb,,6.00494799,0.306027481,0.600494799,697.1,2277.9,10
CondBlank1,,0.709523811,0.001579904,0.070952381,2,1265.9,10
LAG-1,1,5.631479959,0.284555842,0.563147996,231.6,813.9,10
LAG-10,1,5.920376047,0.301165223,0.592037605,302.4,1004.1,10
LAG-11,1,4.173716782,0.200745282,0.417371678,167,831.9,10
LAG-2,1,40.41806411,2.28452618,4.041806411,1950.3,853.7,10
LAG-3,1,42.04309819,2.377953576,4.204309819,2284.5,960.7,10
LAG-4,1,7.943166716,0.417460669,0.794316672,376.8,902.6,10
LAG-5,1,29.33184608,1.647150946,2.933184608,1367.3,830.1,10
LAG-6,1,11.15421153,0.602071907,1.115421153,592.8,984.6,10
LAG-7,1,10.94086081,0.589805825,1.094086081,413.1,700.4,10
LAG-8,1,11.69904576,0.633395831,1.169904576,574.3,906.7,10
LAG-9,1,5.408891615,0.271758665,0.540889162,211.7,779,10
MAJ-1,1,7.045078823,0.365827283,0.704507882,236.8,647.3,10
MAJ-10,1,6.550807063,0.337410326,0.655080706,286.9,850.3,10
MAJ-11,1,4.408550897,0.2142465,0.44085509,156.1,728.6,10
MAJ-2,1,13.33653077,0.727539063,1.333653077,521.5,716.8,10
MAJ-3,1,13.19976189,0.719675867,1.319976189,568.4,789.8,10
MAJ-4,1,5.460043205,0.274699502,0.54600432,187.4,682.2,10
MAJ-5,1,12.58540812,0.684355087,1.258540812,622.9,910.2,10
MAJ-6,1,6.402918227,0.328907816,0.640291823,262.6,798.4,10
MAJ-7,1,11.55206011,0.624945247,1.155206011,570.7,913.2,10
MAJ-8,1,11.6154676,0.628590708,1.16154676,652.1,1037.4,10
MAJ-9,1,12.55182389,0.682424242,1.255182389,563,825,10
PESC-1,1,19.7015975,1.093483146,1.97015975,486.6,445,10
PESC-10,1,8.54925831,0.452306436,0.854925831,332.4,734.9,10
PESC-11,1,11.84697975,0.641900937,1.184697975,479.5,747,10
PESC-2,1,18.30283807,1.013064863,1.830283807,659.1,650.6,10
PESC-3,1,10.21623508,0.548145225,1.021623508,416.7,760.2,10
PESC-4,1,15.99821175,0.880565959,1.599821175,423.2,480.6,10
PESC-5,1,18.8727542,1.04583081,1.88727542,518,495.3,10
PESC-6,1,12.21991688,0.663342054,1.221991688,405.7,611.6,10
PESC-7,1,11.77729215,0.637894417,1.177729215,420.5,659.2,10
PESC-9,1,11.70667309,0.633834346,1.170667309,396.4,625.4,10
SAN-1,1,8.632565058,0.457095956,0.863256506,306.3,670.1,10
SAN-10,1,7.814663158,0.410072669,0.781466316,406.3,990.8,10
SAN-11,1,9.811668029,0.524885623,0.981166803,378.6,721.3,10
SAN-2,1,26.06424675,1.459288243,2.606424675,1566.4,1073.4,10
SAN-3,1,22.50523962,1.254671754,2.250523962,1282.4,1022.1,10
SAN-4,1,11.41401218,0.617008516,1.141401218,514.4,833.7,10
SAN-5,1,16.37835985,0.902421652,1.637835985,886.9,982.8,10
SAN-6,1,15.25116992,0.8376166,1.525116992,440,525.3,10
SAN-7DUP,1,14.93696245,0.819552003,1.493696245,984.2,1200.9,10
SAN-9,1,5.722385649,0.289782245,0.572238565,276.8,955.2,10
