Sample_ID,levo_micro_gram_per_liter,std_levo_micro_gram_per_liter
LAG-1,5.558747158,0.102859714
LAG-10,6.840685924,1.301514709
LAG-11,4.954502062,1.104197132
LAG-2,40.35730382,0.085928033
LAG-3,42.27818918,0.332468866
LAG-4,8.704824211,1.077146359
LAG-5,31.84507861,3.554247529
LAG-6,12.0573052,1.277167309
LAG-7,10.50650316,0.61427448
LAG-8,14.42195475,3.850774823
LAG-9,4.957231284,0.638744166
MAJ-1,6.960025852,0.120283066
MAJ-10,7.029974357,0.677644885
MAJ-11,5.72673935,1.864199987
MAJ-2,13.34570373,0.012972524
MAJ-3,14.69170113,2.109920707
MAJ-4,6.134309779,0.953556933
MAJ-5,14.41912991,2.593274225
MAJ-6,8.294437309,2.675011939
MAJ-7,15.14295209,5.078288139
MAJ-8,11.13162903,0.684251075
MAJ-9,11.93003258,0.879345704
PESC-1,22.38133268,3.789717828
PESC-10,10.0770873,2.160676472
PESC-11,14.04618625,3.110147652
PESC-2,20.77821802,3.50071589
PESC-3,12.89015054,3.781487501
PESC-4,20.06773715,5.755178013
PESC-5,20.75943334,2.668167228
PESC-6,14.60244721,3.369406698
PESC-7,13.55410536,2.512793339
PESC-9,11.63612657,0.099767845
SAN-1,9.538789069,1.281594287
SAN-10,7.945547837,0.185098887
SAN-11,9.07892681,1.03625257
SAN-2,27.06158021,1.410442505
SAN-3,21.20520258,1.838530014
SAN-4,10.69781102,1.012861398
SAN-5,21.27378364,6.92317471
SAN-6,47.11484612,45.06204302
SAN-7,13.47886262,2.062064555
SAN-9,6.680237541,1.354607136
SCT-1,8.224516985,0.634142808
SCT-10,4.871010502,0.789613527
SCT-11,9.14135787,0.882328955
SCT-3,62.67418921,7.63143853
SCT-4,9.591719158,0.022195626
SCT-5,13.92502193,1.611941817
SCT-6,9.440664238,2.002202962
SCT-7,48.13010966,10.27638856
SCT-8,32.75717598,0.311562123
SCT-9,10.6372964,1.140723198
