Watershed,Sample_ID,IGSN,Date,Time,Latitude,Longitude,Location_Change,Discharge_cms,Flow_category,TSS_mg_per_L,POC_mgC_per_L,PBC_mgC_per_L,PBC_TSS_percent,PBC_POC_percent,pB6CA_nano_mol_per_L,pB5CA_nano_mol_per_L,pB6CA_B5CA,DOC_mgC_per_L,DBC_mgC_per_L,DBC_DOC_percent,dB6CA_nano_mol_per_L,dB5CA_nano_mol_per_L,dB6CA_B5CA,a254_per_m,SUVA254_L_per_mgC_per_m
San Lorenzo River,SAN-1,,7-Oct-20,11:56,37.044037,-122.07214,N,0.345,B,1.44,0.44,0.006,0.433,1.42,3.158,3.667,0.861,1.73,0.07,4,24.505,68.975,0.355,12.436,3.121
San Lorenzo River,SAN-2,,17-Nov-20,23:17,37.044037,-122.07214,N,0.974,L,8,1.36,0.027,0.332,1.95,16.958,16.219,1.046,9.53,0.274,2.9,108.9,305.4,0.357,47.672,2.172
San Lorenzo River,SAN-3,,18-Nov-20,10:14,37.044037,-122.07214,N,1.758,L,17,2.29,0.036,0.214,1.59,23.712,22.952,1.033,6.73,0.144,2.1,53.6,161.1,0.333,34.545,2.229
San Lorenzo River,SAN-4,,11-Dec-20,11:00,37.044037,-122.07214,N,0.428,B,1.11,0.23,0.006,0.577,2.79,3.324,3.716,0.895,1.95,0.083,4.2,30.5,83.8,0.364,12.436,2.769
San Lorenzo River,SAN-5,,13-Dec-20,14:05,37.044037,-122.07214,N,2.178,L,27.31,2.17,0.029,0.105,1.32,18.577,17.322,1.072,4.69,0.16,3.4,59.1,167.9,0.352,30.63,2.836
San Lorenzo River,SAN-6,,4-Jan-21,16:00,37.044037,-122.07214,N,1.818,L,34.44,5.73,0.066,0.192,1.15,46.719,42.669,1.095,3.67,0.139,3.8,54.4,151.5,0.359,28.097,3.324
San Lorenzo River,SAN-7,,27-Jan-21,7:05,37.044037,-122.07214,N,19.793,H,804.3,28.665,0.991,0.125,3.71,828.4,885.3,0.936,7.41,0.351,4.75,162.6,391,0.416,52.393,3.071
San Lorenzo River,SAN-8,,28-Jan-21,7:04,37.044037,-122.07214,N,52.386,H,741.33,17.58,0.695,0.094,3.95,544.812,618.57,0.881,7.97,0.418,5.2,213.352,455.244,0.469,62.181,3.388
San Lorenzo River,SAN-9,,2-Feb-21,8:15,37.044037,-122.07214,N,3.511,H,25.87,3.1,0.034,0.132,1.1,21.864,21.597,1.012,4.27,0.223,5.2,101.555,234.943,0.432,32.472,3.302
San Lorenzo River,SAN-10,,18-Mar-21,20:30,37.044037,-122.07214,N,2.761,L,12.47,4.55,0.042,0.34,0.93,29.206,26.061,1.121,3.24,0.185,5.7,78.1,197,0.396,24.412,3.272
San Lorenzo River,SAN-11,,2-May-21,9:10,37.044037,-122.07214,N,0.532,B,4.43,0.3,,,,,,,1.91,0.101,5.3,41.5,100.3,0.413,14.048,3.194
Pescadero Creek,PESC-1,,7-Oct-20,7:30,37.260803,-122.329119,N,0.02,B,1.45,0.43,0.006,0.39,1.31,2.581,3.56,0.725,3.48,0.152,4.4,54.7,170.4,0.321,22.8,2.845
Pescadero Creek,PESC-2,,17-Nov-20,21:53,37.260803,-122.329119,N,0.07,L,3.52,0.87,0.008,0.236,0.96,4.22,5.134,0.822,4.95,0.182,3.7,66.2,200.3,0.33,30.86,2.707
Pescadero Creek,PESC-3,,18-Nov-20,10:15,37.260803,-122.329119,N,0.107,L,1.45,0.36,0.005,0.326,1.31,2.168,2.879,0.753,4.46,0.206,4.6,78.1,228.4,0.342,29.709,2.892
Pescadero Creek,PESC-4,,11-Dec-20,13:06,37.260803,-122.329119,N,0.048,B,0.9,0.27,0.003,0.307,1.02,1.153,1.659,0.695,3.25,0.182,5.591,72.5,197.2,0.368,20.036,2.677
Pescadero Creek,PESC-5,,13-Dec-20,15:16,37.260803,-122.329119,N,0.217,L,1.13,0.19,0.005,0.408,2.43,2.182,2.739,0.797,3.91,0.176,4.5,69.4,193.9,0.358,27.175,3.018
Pescadero Creek,PESC-6,,4-Jan-21,15:35,37.260803,-122.329119,N,0.077,L,2.4,0.15,0.007,0.311,4.98,3.878,4.447,0.872,3.42,0.154,4.5,59.5,166.9,0.356,23.26,2.953
Pescadero Creek,PESC-7,,27-Jan-21,7:39,37.260803,-122.329119,N,0.748,H,10.63,1.89,0.018,0.165,0.93,9.364,11.737,0.798,3.95,0.208,5.3,90.931,221.665,0.41,30.169,3.316
Pescadero Creek,PESC-8,,28-Jan-21,7:20,37.260803,-122.329119,N,1.433,H,45,0.85,0.033,0.074,3.94,19.958,22.745,0.877,5.09,0.285,5.6,135.494,305.192,0.444,36.157,3.084
Pescadero Creek,PESC-9,,2-Feb-21,7:46,37.260803,-122.329119,N,0.447,H,5.9,1.23,0.009,0.151,0.72,4.749,5.334,0.89,4.46,0.284,6.4,127.343,310.558,0.41,32.703,3.184
Pescadero Creek,PESC-10,,18-Mar-21,19:30,37.260803,-122.329119,N,0.253,L,0.8,1.63,0.006,0.766,0.38,3.151,3.555,0.886,2.75,0.155,5.649,65.5,161.8,0.405,19.806,3.127
