Sample,Air_Temp,Condition,Discharge,%Agricultural,%Forested
H-1a,50.32,Leaf-off,0.0465475,40.37088688,59.5934144
H-1b,50.32,Leaf-off,0.0465475,40.37088688,59.5934144
H-2,60.46,Leaf-off,0.011068563,41.86853432,58.10053385
H-3,58.79,Leaf-off,0.014343125,40.19855405,59.76519871
H-4,55.07,Leaf-off,0.015019688,39.39398759,60.56720429
H-5,55.07,Leaf-off,0.023003125,41.74059717,58.22806378
H-6,70.24,Leaf-off,0.0041135,42.17487933,57.79516392
H-8,75.58,Leaf-on,0.062514375,44.88538858,55.09328201
H-9,75.58,Leaf-on,0.046953438,42.8246181,57.1474932
H-10,71,Leaf-on,0.069144688,43.5731205,56.40137324
H-11,78.22,Leaf-on,0.02219125,38.32585496,61.63193713
H-12,78.22,Leaf-on,0.02219125,38.5127417,61.44564524
H-13,68.97,Leaf-on,0.011203875,37.26880577,62.68562183
H-15,70.74,Leaf-on,0.036399063,43.44369381,56.53038797
H-16,51.69,Leaf-on,0.03518125,45.86868745,54.11311291
H-17,51.69,Leaf-on,0.104055313,47.22041214,52.76569064
H-18,51.69,Leaf-on,0.096477813,47.11107267,52.8746821
H-19,51.69,Leaf-on,0.096477813,46.72015706,53.26435346
H-20,51.69,Leaf-on,0.056560625,45.22794385,54.75181707
H-21,44.47,Leaf-off,0.0270625,39.70185362,60.26031817
H-22,36.04,Leaf-off,0.026791875,41.40728171,58.56031832
H-23,32.42,Leaf-off,0.012746438,47.58506329,52.40220015
H-24,28.1,Under ice,0.009214781,41.55319913,58.41486536
H-25,28.1,Under ice,0.015155,39.7274265,60.23482669
H-26,28.1,Under ice,0.015560938,44.78517098,55.19318061
H-27,49.33,Leaf-on,0.07739875,45.60998011,54.37099679
H-28,51.28,Leaf-on,0.146137501,45.75543221,54.22600766
H-29,75.27,Leaf-off,0.008321719,39.08128891,60.87890767
M-1a,50.32,Leaf-on,0.039500121,51.58659183,48.41340817
M-1b,50.32,Leaf-on,0.039500121,51.58659183,48.41340817
M-2,60.46,Leaf-off,0.017917255,51.58659183,48.41340817
M-3,58.79,Leaf-off,0.012640039,51.58659183,48.41340817
M-4,55.07,Leaf-off,0.007457623,51.58659183,48.41340817
M-5,55.07,Leaf-off,0.020698064,51.58659183,48.41340817
M-7,70.24,Leaf-off,0.008816427,51.58659183,48.41340817
M-8,75.58,Leaf-on,0.083108255,51.58659183,48.41340817
M-9,75.58,Leaf-on,0.046768144,51.58659183,48.41340817
M-12,78.22,Leaf-on,0.015484048,51.58659183,48.41340817
M-13,68.97,Leaf-on,0.005150816,51.58659183,48.41340817
M-15,70.74,Leaf-on,0.036972114,51.58659183,48.41340817
M-16,51.69,Leaf-on,0.042660131,51.58659183,48.41340817
M-18,51.69,Leaf-on,0.152628469,51.58659183,48.41340817
M-19,51.69,Leaf-on,0.152628469,51.58659183,48.41340817
M-20,51.69,Leaf-on,0.07489223,51.58659183,48.41340817
M-21,44.47,Leaf-off,0.022056868,51.58659183,48.41340817
M-22,36.04,Leaf-off,0.025627679,51.58659183,48.41340817
M-23,32.42,Leaf-off,0.007520823,51.58659183,48.41340817
M-24,28.1,Under ice,0.00976443,51.58659183,48.41340817
M-28,51.28,Leaf-on,0.230048707,51.58659183,48.41340817
U-1a,50.32,Leaf-on,0.050878507,34.17148878,65.77308029
U-1b,50.32,Leaf-on,0.050878507,34.17148878,65.77308029
U-2,60.46,Leaf-off,0.015807834,34.17148878,65.77308029
U-3,58.79,Leaf-off,0.01573684,34.17148878,65.77308029
U-4,55.07,Leaf-off,0.013512385,34.17148878,65.77308029
U-5,55.07,Leaf-on,0.023901066,34.17148878,65.77308029
U-6,70.24,Leaf-on,0.006507716,34.17148878,65.77308029
U-8,75.58,Leaf-on,0.036916498,34.17148878,65.77308029
U-9,75.58,Leaf-on,0.044015824,34.17148878,65.77308029
U-12,78.22,Leaf-on,0.018647564,34.17148878,65.77308029
U-13,68.97,Leaf-on,0.017251363,34.17148878,65.77308029
U-15,70.74,Leaf-on,0.030053816,34.17148878,65.77308029
U-16,51.69,Leaf-on,0.029580527,34.17148878,65.77308029
U-18,51.69,Leaf-on,0.048038776,34.17148878,65.77308029
U-19,51.69,Leaf-on,0.03928294,34.17148878,65.77308029
U-20,51.69,Leaf-on,0.03928294,34.17148878,65.77308029
U-22,36.04,Leaf-off,0.031710325,34.17148878,65.77308029
U-24,28.1,Under ice,0.01001005,34.17148878,65.77308029
U-25,28.1,Under ice,0.02413771,34.17148878,65.77308029
U-28,51.28,Leaf-on,0.1043601,34.17148878,65.77308029
