Watershed,Date,Time,Latitude,Longitude,Discharge (m³ s¯¹),Flow category,Lagoon,Levoglucosan (ppb),TSS (mg L¯¹),POC (mg-C L¯¹),PBC (mg-C L¯¹),PBC:TSS (%),PBC:POC (%),pB6CA (nM),pB5CA (nM),pB6CA : B5CA,DOC (mg-C L¯¹),DBC (mg-C L¯¹),DBC:DOC (%),dB6CA (nM),dB5CA (nM),dB6CA : B5CA,a254 (m¯¹),SUVA254 (L mg-C¯¹ m¯¹)
San Lorenzo River,"October 7, 2020",11:56,37.044037,-122.07214,0.345,B,N,1.005121263,1.44,0.440,0.006,0.433,1.42,3.158,3.667,0.861,1.730,0.070,4.000,24.505,68.975,0.355,12.436,3.121
San Lorenzo River,"November 17, 2020",23:17,37.044037,-122.07214,0.974,L,N,14.07897501,8.00,1.360,0.027,0.332,1.95,16.958,16.219,1.046,9.530,0.274,2.900,108.900,305.400,0.357,47.672,2.172
San Lorenzo River,"November 18, 2020",10:14,37.044037,-122.07214,1.758,L,N,10.83425344,17.00,2.290,0.036,0.214,1.59,23.712,22.952,1.033,6.730,0.144,2.100,53.600,161.100,0.333,34.545,2.229
San Lorenzo River,"December 11, 2020",11:00,37.044037,-122.07214,0.428,B,N,1.32959342,1.11,0.230,0.006,0.577,2.79,3.324,3.716,0.895,1.950,0.083,4.200,30.500,83.800,0.364,12.436,2.769
San Lorenzo River,"December 13, 2020",14:05,37.044037,-122.07214,2.178,L,N,6.307471148,27.31,2.170,0.029,0.105,1.32,18.577,17.322,1.072,4.690,0.160,3.400,59.100,167.900,0.352,30.630,2.836
San Lorenzo River,"January 4, 2021",16:00,37.044037,-122.07214,1.818,L,N,3.5692427,34.44,5.730,0.066,0.192,1.15,46.719,42.669,1.095,3.670,0.139,3.800,54.400,151.500,0.359,28.097,3.324
San Lorenzo River,"January 28, 2021",8:05,37.044037,-122.07214,19.793,H,N,5.231173261,804.30,28.665,0.991,0.125,3.71,828.400,885.300,0.936,7.410,0.351,4.750,162.600,391.000,0.416,52.393,3.071
San Lorenzo River,"January 28, 2021",7:04,37.044037,-122.07214,52.386,H,N,-9999,741.33,17.580,0.695,0.094,3.95,544.812,618.570,0.881,7.970,0.418,5.200,213.352,455.244,0.469,62.181,3.388
San Lorenzo River,"February 2, 2021",8:15,37.044037,-122.07214,3.511,H,N,1.669893487,25.87,3.100,0.034,0.132,1.10,21.864,21.597,1.012,4.270,0.223,5.200,101.555,234.943,0.432,32.472,3.302
San Lorenzo River,"March 18, 2021",20:30,37.044037,-122.07214,2.761,L,N,2.287181981,12.47,4.550,0.042,0.340,0.93,29.206,26.061,1.121,3.240,0.185,5.700,78.100,197.000,0.396,24.412,3.272
