"Sample_Name","Watershed","Date","Time","time_since_fire_day","Latitude","Longitude","Location_Change","Discharge_cms","DOC_micro_mol_C_per_L","Levo_micro_mol_C_per_L","stdev_Levo_micro_mol_C_per_L","Levo_DOC_percent","B6CA_and_B5CA_micro_mol_C_per_L","dB6CA_B5CA","BPCA_DOC_percent","B6CA_micro_mol_C_per_L","B5CA_micro_mol_C_per_L","Area_square_kilometer","Average_slope_percent","Average_precipitation_milli_meter","Mean_dNBR_watershed","Percent_burned","BE_un_low","BE_low","BE_mod","BE_high","Inc-greenness","Non-processing","Forest_percent","Shrub_percent","Developed_percent","Sandstone_and_sedimentary_percent","Igneous_percent","Suficial_Sediments_percent","Schist_percent"
"LAG-1","Laguna Creek",2020-10-07,11:00:00,52,37.02469,-122.1309,"N",0.01,65.4166666666667,0.205748118909584,0.00370050573578389,0.314519417441403,0.336,0.458,0.513630573248408,0.1116,0.2244,9,24.4,1160,180.9,60.49,48.83,29.16,16.37,5.64,0,0,84,5,11,12,40,0,48
"LAG-10","Laguna Creek",2021-03-18,19:54:00,214,37.02469,-122.1309,"N",0.151,290.833333333333,0.253114592327618,0.0481065745651906,0.0870308053848544,2.3511,0.458,0.808401146131805,0.7836,1.5675,9,24.4,1160,180.9,60.49,48.83,29.16,16.37,5.64,0,0,84,5,11,12,40,0,48
"LAG-11","Laguna Creek",2021-05-02,10:15:00,259,37.02469,-122.1309,"N",0.017,60.8333333333333,0.183175033921303,0.0407055630936228,0.301109644802141,0.5088,0.497,0.836383561643836,0.1788,0.33,9,24.4,1160,180.9,60.49,48.83,29.16,16.37,5.64,0,0,84,5,11,12,40,0,48
"LAG-2","Laguna Creek",2020-11-17,22:17:00,93,37.02469,-122.1309,"N",0.029,481.666666666667,1.49352411496238,0.0033304551622055,0.310074210718833,1.8252,0.377,0.378934256055363,0.5316,1.2936,9,24.4,1160,180.9,60.49,48.83,29.16,16.37,5.64,0,0,84,5,11,12,40,0,48
"LAG-3","Laguna Creek",2020-11-18,10:56:00,94,37.02469,-122.1309,"N",0.031,525,1.56457382508943,0.0122116689280868,0.298014061921796,3.1932,0.336,0.608228571428572,0.8568,2.3364,9,24.4,1160,180.9,60.49,48.83,29.16,16.37,5.64,0,0,84,5,11,12,40,0,48
"LAG-4","Laguna Creek",2020-12-11,10:16:00,117,37.02469,-122.1309,"N",0.013,77.5,0.321943999013198,0.039965461946466,0.415411611629934,0.4742,0.466,0.611870967741936,0.1596,0.3146,9,24.4,1160,180.9,60.49,48.83,29.16,16.37,5.64,0,0,84,5,11,12,40,0,48
"LAG-5","Laguna Creek",2020-12-13,15:02:00,119,37.02469,-122.1309,"N",0.082,530,1.17861107684717,0.131367953620328,0.22237944846173,3.424,0.392,0.646037735849057,1.026,2.398,9,24.4,1160,180.9,60.49,48.83,29.16,16.37,5.64,0,0,84,5,11,12,40,0,48
"LAG-6","Laguna Creek",2021-01-04,15:55:00,141,37.02469,-122.1309,"N",0.072,386.666666666667,0.446280991735537,0.0473664734180338,0.115417497862639,3.1283,0.424,0.809043103448276,0.9888,2.1395,9,24.4,1160,180.9,60.49,48.83,29.16,16.37,5.64,0,0,84,5,11,12,40,0,48
"LAG-7","Laguna Creek",2021-01-27,08:50:00,164,37.02469,-122.1309,"N",0.186,449.166666666667,0.388923152830887,0.0225730849882817,0.0865877149159674,4.906163,0.431,1.09228118738404,1.568928,3.337235,9,24.4,1160,180.9,60.49,48.83,29.16,16.37,5.64,0,0,84,5,11,12,40,0,48
"LAG-8","Laguna Creek",2021-01-28,07:51:00,165,37.02469,-122.1309,"N",1.41,526.666666666667,0.533612927100037,0.14246947082768,0.101318910208868,3.4259,0.419,0.650487341772152,1.0752,2.3507,9,24.4,1160,180.9,60.49,48.83,29.16,16.37,5.64,0,0,84,5,11,12,40,0,48
"LAG-9","Laguna Creek",2021-02-02,07:57:00,170,37.02469,-122.1309,"N",0.323,382.5,0.183545084494881,0.0236832367090169,0.0479856430051976,4.206997,0.481,1.09986849673203,1.448472,2.758525,9,24.4,1160,180.9,60.49,48.83,29.16,16.37,5.64,0,0,84,5,11,12,40,0,48
"MAJ-1","Majors Creek",2020-10-07,10:00:00,52,36.99993,-122.11982,"N",0.031,71.6666666666667,0.257555199210559,0.00444060688294067,0.359379347735663,0.3349,0.381,0.467302325581395,0.0984,0.2365,9.9,21.4,1040,206.43,37.72,70.32,15.69,9.89,4.11,0,0,86,6,8,62,37,1,1
"MAJ-10","Majors Creek",2021-03-18,19:11:00,214,36.99993,-122.11982,"N",0.14,233.333333333333,0.260145553225608,0.0251634390033305,0.111490951382403,2.3439,0.502,1.00452857142857,0.8292,1.5147,9.9,21.4,1040,206.43,37.72,70.32,15.69,9.89,4.11,0,0,86,6,8,62,37,1,1
"MAJ-11","Majors Creek",2021-05-02,09:13:00,259,36.99993,-122.11982,"N",0.036,74.1666666666667,0.212038978660417,0.0688294066855804,0.285895252126405,0.7161,0.455,0.96552808988764,0.2376,0.4785,9.9,21.4,1040,206.43,37.72,70.32,15.69,9.89,4.11,0,0,86,6,8,62,37,1,1
"MAJ-2","Majors Creek",2020-11-17,21:24:00,93,36.99993,-122.11982,"N",0.041,172.5,0.494017515727149,0.000370050573578389,0.286386965638927,0.8725,0.433,0.505797101449275,0.2796,0.5929,9.9,21.4,1040,206.43,37.72,70.32,15.69,9.89,4.11,0,0,86,6,8,62,37,1,1
"MAJ-3","Majors Creek",2020-11-18,10:12:00,94,36.99993,-122.11982,"N",0.065,280,0.543604292586654,0.0780806710250401,0.194144390209519,1.3105,0.443,0.468035714285714,0.4272,0.8833,9.9,21.4,1040,206.43,37.72,70.32,15.69,9.89,4.11,0,0,86,6,8,62,37,1,1
"MAJ-4","Majors Creek",2020-12-11,09:30:00,117,36.99993,-122.11982,"N",0.029,68.3333333333333,0.226841001603552,0.035154804489947,0.331962441371052,0.5753,0.434,0.84190243902439,0.1848,0.3905,9.9,21.4,1040,206.43,37.72,70.32,15.69,9.89,4.11,0,0,86,6,8,62,37,1,1
"MAJ-5","Majors Creek",2020-12-13,14:10:00,119,36.99993,-122.11982,"N",0.088,445,0.533612927100037,0.0958430985568028,0.119913017325851,2.5745,0.485,0.578539325842697,0.8904,1.6841,9.9,21.4,1040,206.43,37.72,70.32,15.69,9.89,4.11,0,0,86,6,8,62,37,1,1
"MAJ-6","Majors Creek",2021-01-04,15:17:00,141,36.99993,-122.11982,"N",0.067,225.833333333333,0.306771925496484,0.0991735537190083,0.135839967009513,1.7034,0.484,0.754273062730627,0.588,1.1154,9.9,21.4,1040,206.43,37.72,70.32,15.69,9.89,4.11,0,0,86,6,8,62,37,1,1
"MAJ-7","Majors Creek",2021-01-27,08:05:00,164,36.99993,-122.11982,"N",0.211,730,0.560256568397681,0.187985691377822,0.07674747512297,5.7895,0.435,0.793082191780822,1.8636,3.9259,9.9,21.4,1040,206.43,37.72,70.32,15.69,9.89,4.11,0,0,86,6,8,62,37,1,1
"MAJ-8","Majors Creek",2021-01-28,07:05:00,165,36.99993,-122.11982,"N",3.493,873.333333333333,0.411866288392747,0.0251634390033305,0.0471602620297039,9.706043,0.471,1.11137896946565,3.294396,6.411647,9.9,21.4,1040,206.43,37.72,70.32,15.69,9.89,4.11,0,0,86,6,8,62,37,1,1
"MAJ-9","Majors Creek",2021-02-02,07:18:00,170,36.99993,-122.11982,"N",0.545,580.833333333333,0.441470334279018,0.0325644504748982,0.0760063703206344,5.446286,0.503,0.937667604017217,1.92864,3.517646,9.9,21.4,1040,206.43,37.72,70.32,15.69,9.89,4.11,0,0,86,6,8,62,37,1,1
"PESC-1","Pescadero Creek",2020-10-07,07:30:00,52,37.260803,-122.329119,"N",0.02,290,0.828173183668435,0.140249167386209,0.285576959885667,2.5308,0.321,0.872689655172414,0.6564,1.8744,118.7,35.6,700,92.14,23.12,81.65,10.9,5.03,2.42,0,0,93,4,3,94,6,1,0
"PESC-10","Pescadero Creek",2021-03-18,19:30:00,214,37.260803,-122.329119,"N",0.253,229.166666666667,0.373010978167016,0.079930923892932,0.162768426836516,2.5658,0.405,1.11962181818182,0.786,1.7798,118.7,35.6,700,92.14,23.12,81.65,10.9,5.03,2.42,0,0,93,4,3,94,6,1,0
"PESC-11","Pescadero Creek",2021-05-02,09:45:00,259,37.260803,-122.329119,"N",0.07,233.333333333333,0.519921055877637,0.115085728382879,0.222823309661844,2.7323,0.382,1.17098571428571,0.804,1.9283,118.7,35.6,700,92.14,23.12,81.65,10.9,5.03,2.42,0,0,93,4,3,94,6,1,0
"PESC-2","Pescadero Creek",2020-11-17,21:53:00,93,37.260803,-122.329119,"N",0.07,412.5,0.768965091895893,0.129517700752436,0.18641577985355,2.9977,0.33,0.726715151515151,0.7944,2.2033,118.7,35.6,700,92.14,23.12,81.65,10.9,5.03,2.42,0,0,93,4,3,94,6,1,0
"PESC-3","Pescadero Creek",2020-11-18,10:15:00,94,37.260803,-122.329119,"N",0.107,371.666666666667,0.476995189342544,0.139879116812631,0.12833951282759,3.4496,0.342,0.928143497757848,0.9372,2.5124,118.7,35.6,700,92.14,23.12,81.65,10.9,5.03,2.42,0,0,93,4,3,94,6,1,0
"PESC-4","Pescadero Creek",2020-12-11,13:06:00,117,37.260803,-122.329119,"N",0.048,270.833333333333,0.742691501171827,0.213149130381152,0.274224554278828,3.0392,0.368,1.12216615384615,0.87,2.1692,118.7,35.6,700,92.14,23.12,81.65,10.9,5.03,2.42,0,0,93,4,3,94,6,1,0
"PESC-5","Pescadero Creek",2020-12-13,15:16:00,119,37.260803,-122.329119,"N",0.217,325.833333333333,0.768224990748736,0.0988035031454299,0.235772375677361,2.9657,0.358,0.910189258312021,0.8328,2.1329,118.7,35.6,700,92.14,23.12,81.65,10.9,5.03,2.42,0,0,93,4,3,94,6,1,0
"PESC-6","Pescadero Creek",2021-01-04,15:35:00,141,37.260803,-122.329119,"N",0.077,285,0.540273837424448,0.124707043295917,0.18956976751735,2.5499,0.356,0.894701754385965,0.714,1.8359,118.7,35.6,700,92.14,23.12,81.65,10.9,5.03,2.42,0,0,93,4,3,94,6,1,0
"PESC-7","Pescadero Creek",2021-01-27,07:39:00,164,37.260803,-122.329119,"N",0.748,329.166666666667,0.501418527198717,0.0928826939681756,0.152329679148977,3.529487,0.41,1.07224921518987,1.091172,2.438315,118.7,35.6,700,92.14,23.12,81.65,10.9,5.03,2.42,0,0,93,4,3,94,6,1,0
"PESC-8","Pescadero Creek",2021-01-28,07:20:00,165,37.260803,-122.329119,"N",1.433,424.166666666667,NA,NA,NA,4.98304,0.444,1.17478349705305,1.625928,3.357112,118.7,35.6,700,92.14,23.12,81.65,10.9,5.03,2.42,0,0,93,4,3,94,6,1,0
"PESC-9","Pescadero Creek",2021-02-02,07:46:00,170,37.260803,-122.329119,"N",0.447,371.666666666667,0.430738867645245,0.00370050573578389,0.115893865734147,4.944254,0.41,1.33029255605381,1.528116,3.416138,118.7,35.6,700,92.14,23.12,81.65,10.9,5.03,2.42,0,0,93,4,3,94,6,1,0
